OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,600,1.50,4.05,75,"16,150.00","2,625","1,391.30","1,502.90","2,625",-,-,-,-,-,-,
,"1,156",-201,"1,302",20.70,2.95,-1.20,150,2.95,3.00,900,"16,200.00",75,"1,477.40","1,500.35",75,157.25,"1,480.00",33.98,6,-2,71,
,54,-3,27,22.04,3.80,-2.20,"3,600",2.05,3.25,750,"16,250.00","2,625","1,477.65","1,602.30","2,625",22.55,"1,494.20",24.35,2,-,-,
,656,8,143,21.91,3.00,-0.35,300,2.65,3.00,75,"16,300.00",75,"1,579.85","1,612.20",75,259.55,"1,565.85",32.51,3,-,17,
,2,2,4,22.78,3.30,-437.95,75,2.65,4.40,750,"16,350.00","2,625","1,599.00","1,702.90","2,625",56.05,"1,597.80",27.59,2,-,-,
,819,4,57,23.07,3.00,-0.45,75,2.55,3.00,600,"16,400.00",75,"1,611.80","1,709.90",75,136.75,"1,662.20",33.17,3,1,8,
,-,-,-,-,-,-,600,1.20,3.25,300,"16,450.00","2,625","1,633.25","1,813.45","1,500",-,-,-,-,-,-,
,"13,890","6,084","8,572",23.82,2.65,-0.25,"3,675",2.65,2.75,"1,650","16,500.00",75,"1,779.50","1,790.25",375,155.75,"1,773.00",37.50,228,-82,"3,470",
,1,1,6,23.75,2.15,-385.35,600,1.30,3.00,750,"16,550.00","2,625","1,716.40","1,921.20","2,625",-,-,-,-,-,-,
,188,18,129,24.49,2.30,-0.90,300,2.30,2.55,75,"16,600.00",75,"1,837.40","1,911.90",75,187.80,"1,864.25",36.90,2,-,49,
,-,-,-,-,-,-,600,1.65,3.00,"3,000","16,650.00","2,625","1,846.10","2,021.25","2,250",-,-,-,-,-,-,
,508,3,197,25.90,2.55,-0.05,"1,425",2.15,2.50,75,"16,700.00",150,"1,969.65","1,993.40",75,148.05,"1,962.20",37.88,1,-,128,
,583,12,185,25.97,2.20,-0.50,975,2.05,2.20,"2,325","16,750.00","1,500","1,979.65","2,162.45","2,625",-,"1,899.35",-,-,-,8,
